Statement,Abbreviation,Tag,Right,GL-PvdA,D66,VVD,PvdD,BIJ1,Splinter,LEF,Volt,PVV,CDA,SP,FVD,ChristenUnie,JA21,SGP,DENK,50PLUS,BBB,Piratenpartij - De Groenen,BVNL,NSC,Libertaire Partij,Samen voor Nederland,Nederland met een Plan,PartijvdSport
De regering moet ervoor zorgen dat de hoeveelheid vee minstens de helft kleiner wordt.,Vee,Environment_Climate,0,2,2,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"De accijns op benzine, gas en diesel moet omlaag.",Lagere prijs benzine,Economy_Finance,1,0,0,2,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0
Het eigen risico bij zorgverzekeringen moet worden afgeschaft.,Eigen risico zorgverzekering,Education_Healthcare,0,2,0,0,2,2,2,2,0,2,0,2,0,0,0,0,2,2,2,2,2,0,2,0,0,0
Elke regio in Nederland moet een vast aantal mensen in de Tweede Kamer krijgen.,Kiezen per regio,Political_Representation,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,0,2,2,2,2,0,0
"Mensen vanaf 65 jaar moeten gratis met trein, tram en bus kunnen reizen.",OV voor 65-plussers,Economy_Finance,0,0,0,0,0,2,2,2,1,2,0,2,2,0,0,0,2,2,2,2,2,0,0,2,2,0
De regering moet meer investeren in opslag van CO2 onder de grond.,CO2-opslag,Environment_Climate,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2
De regering moet ervoor zorgen dat Surinamers zonder visum naar Nederland kunnen reizen.,Visum Surinamers,Asylum_Immigration,0,2,2,0,2,2,0,2,2,0,2,2,0,2,0,0,2,0,0,2,2,2,2,2,2,0
Er moet een wet komen waarin staat dat Nederland altijd 2% van het bruto binnelands product uitgeeft aan defensie.,2% voor defensie,Foreign_Policy,1,2,2,2,0,0,2,0,2,0,2,0,2,2,2,2,0,2,2,2,2,2,0,0,0,2
De overheid moet meer geld geven aan scholen voor lessen in kunst en cultuur.,Cultuuronderwijs,Education_Healthcare,0,2,2,0,2,2,2,2,2,0,0,2,2,0,0,0,2,2,0,2,0,0,0,0,2,2
In Nederland moeten meer kerncentrales komen.,Kerncentrales,Environment_Climate,0,0,2,2,0,0,0,0,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,2
De belasting op vliegreizen moet omhoog.,Vliegbelasting,Environment_Climate,0,2,2,0,2,0,2,2,2,0,2,0,0,2,0,2,0,2,0,2,0,2,0,0,2,2
Huurders moeten het recht krijgen om hun sociale huurwoning te kopen van de woningcorporatie,Kopen huurwoning,Construction_Surroundings,0,2,2,2,0,0,0,2,1,2,2,0,2,0,2,0,2,2,2,0,2,0,0,0,0,2
Kinderopvang mag alleen worden aangeboden door organisaties die geen winst maken.,Kinderopvanag zonder winstoogmerk,Economy_Finance,0,2,2,0,2,2,0,2,2,2,2,2,0,2,0,0,2,2,0,2,0,2,0,0,2,0
"Als een vluchteling in Nederland mag blijven, mag het gezin nu naar Nederland komen. De regering moet dat beperken.",Gezinshereniging,Asylum_Immigration,1,0,0,2,0,0,0,0,0,2,2,0,2,0,2,2,0,2,2,0,2,2,0,2,0,2
De belasting op vermogen boven 57.000 moet omhoog.,Belasting op vermogen,Economy_Finance,0,2,2,0,2,2,0,2,1,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,2,0
"De overheid moet strenger controleren wat jongeren leren bij kerken, moskeeÃ«n en andere organisaties die les geven op basis van een levensbeschouwing",Controle op religieuze groepen,Social_Affairs_Culture,1,2,2,2,0,0,2,2,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,2
De regering moet ervoor zorgen dat er in 2030 minstens de helft minder stikstof in de lucht komt.,Stikstof,Environment_Climate,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Als je recht hebt op een uitkering en je woont samen, moet je hetzelfde bedrag krijgen als wanneer je alleen woont.",Afschaffen kostendelersnorm,Economy_Finance,0,2,0,0,2,2,2,2,2,0,0,2,2,1,0,0,2,2,2,2,2,0,2,2,0,0
De regering moet zich ertegen verzetten dat meer landen lid worden van de Europese Unie.,Uitbreiding Europese Unie,Foreign_Policy,1,0,0,0,2,0,0,0,0,2,0,2,2,1,2,2,0,2,0,0,2,0,0,0,2,0
De overheid mag nooit de afkomst of nationaliteit van mensen gebruiken om risico's op criminaliteit in te schatten.,Risicoprofilering op basis van nationaliteit,Ethics,0,2,2,0,2,2,2,2,2,0,2,2,0,2,0,0,2,2,2,2,0,2,2,2,2,2
De overheid moet geen geld meer geven aan mensen om een elektrische auto te kopen.,Elektrische auto's,Environment_Climate,0,0,0,0,0,2,0,2,0,2,0,2,2,0,2,0,0,2,0,2,2,2,2,2,2,2
"Het minimumloon moet binnen drie jaar van 11,51 euro bruto per uur naar 16 euro bruto per uur",Hoger minimumloon,Economy_Finance,0,2,2,0,2,2,2,2,2,2,0,2,0,2,0,0,2,2,2,2,0,0,0,0,2,0
De regering moet het bouwen van woonwijken op landbouwgrond gemakkelijker maken.,Bouwen op landbouwgrond,Construction_Surroundings,0,2,2,2,2,2,2,1,2,0,2,2,0,0,1,0,2,2,0,0,0,0,2,0,2,2
Inwoners van Nederland moeten een nieuwe wet kunnen tegenhouden met een referendum.,Referendum,Political_Representation,1,2,2,0,2,0,2,2,0,2,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2
De regering moet het afsteken van vuurwerk door particulieren helemaal verbieden.,Vuurwerk,Social_Affairs_Culture,0,2,2,0,2,2,2,2,2,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,2
De overheid moet bedrijven minder geld geven om duurzamer te worden.,Duurzame bedrijven,Economy_Finance,1,0,0,0,2,1,0,2,0,2,0,2,2,0,2,0,0,2,0,0,2,2,2,0,2,0
"Mensen die vinden dat ze klaar zijn met hun leven, moeten hulp kunnen krijgen bij zelfdoding.",Voltooid leven,Ethics,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,2,1,2,2,0,2,2,2,0
Nederland moet geen ontwikkelingshulp geven aan landen die weigeren uitgeproceerde asielzoekers terug te nemen.,Ontwikkelingshulp en asielzoekers,Foreign_Policy,1,0,2,2,0,0,2,0,0,2,2,0,2,0,2,0,0,2,2,0,2,2,2,2,2,2
De huurprijs van woningen mag de komende drie jaar niet stijgen.,Huurstijging,Construction_Surroundings,0,2,2,0,2,2,2,2,0,2,0,2,0,2,0,0,2,2,0,2,0,0,0,2,2,0
Er moeten minimumstraffen komen voor mensen die zwaar geweld gebruiken.,Minimumstraffen,Ethics,1,0,0,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,2,0,2,0,0,2,2,2